zip_code,latitude,longitude,city,state,county
80201,39.726303,-104.856808,Denver,CO,Denver
80202,39.760189,-104.996553,Denver,CO,Denver
80203,39.729206,-104.970331,Denver,CO,Denver
80204,39.720135,-105.021502,Denver,CO,Denver
80205,39.760136,-104.967585,Denver,CO,Denver
80206,39.730785,-104.953335,Denver,CO,Denver
80207,39.713184,-104.903532,Denver,CO,Denver
80208,39.738750,-104.408349,Denver,CO,Denver
80209,39.707333,-104.964236,Denver,CO,Denver
80210,39.701675,-104.964186,Denver,CO,Denver
80211,39.765289,-105.018387,Denver,CO,Denver
80212,39.768288,-105.049338,Denver,CO,Denver
80214,39.743637,-105.064336,Denver,CO,Jefferson
80215,39.743484,-105.100854,Denver,CO,Jefferson
80216,39.777035,-104.942034,Denver,CO,Denver
80217,39.738750,-104.408349,Denver,CO,Denver
80218,39.720238,-104.968759,Denver,CO,Denver
80219,39.695015,-105.034339,Denver,CO,Denver
80220,39.732437,-104.910843,Denver,CO,Denver
80221,39.838028,-104.998788,Denver,CO,Adams
80222,39.709343,-104.924134,Denver,CO,Denver
80223,39.707188,-105.008762,Denver,CO,Denver
80224,39.702038,-104.911434,Denver,CO,Denver
80225,39.697090,-105.120440,Denver,CO,Jefferson
80226,39.712337,-105.091784,Denver,CO,Jefferson
80227,39.667480,-105.067136,Denver,CO,Denver
80228,39.688774,-105.156000,Denver,CO,Jefferson
80229,39.867100,-104.922688,Denver,CO,Adams
80230,39.721848,-104.895093,Denver,CO,Denver
80231,39.684929,-104.886785,Denver,CO,Denver
80232,39.689487,-105.090779,Denver,CO,Jefferson
80233,39.901535,-104.940683,Denver,CO,Adams
80234,39.910774,-105.010886,Denver,CO,Adams
80235,39.645836,-105.065003,Denver,CO,Denver
80236,39.649837,-105.034988,Denver,CO,Denver
80237,39.638538,-104.903984,Denver,CO,Denver
80238,39.738750,-104.408349,Denver,CO,Denver
80239,39.804398,-104.813919,Denver,CO,Denver
80241,39.927422,-104.954833,Denver,CO,Adams
80243,39.738750,-104.408349,Denver,CO,Denver
80244,39.738750,-104.408349,Denver,CO,Denver
80246,39.708637,-104.931234,Denver,CO,Denver
80248,39.738750,-104.408349,Denver,CO,Denver
80249,39.837761,-104.697674,Denver,CO,Denver
80250,39.738750,-104.408349,Denver,CO,Denver
80251,39.738750,-104.408349,Denver,CO,Denver
80252,39.738750,-104.408349,Denver,CO,Denver
80254,39.738750,-104.408349,Denver,CO,Denver
80255,39.738750,-104.408349,Denver,CO,Denver
80256,39.747391,-104.992842,Denver,CO,Denver
80257,39.738750,-104.408349,Denver,CO,Denver
80259,39.746239,-104.991334,Denver,CO,Denver
80260,39.867233,-105.004125,Denver,CO,Adams
80261,39.737930,-104.985036,Denver,CO,Denver
80262,39.731037,-104.938391,Denver,CO,Denver
80263,39.738750,-104.408349,Denver,CO,Denver
80264,39.742592,-104.986292,Denver,CO,Denver
80265,39.738750,-104.408349,Denver,CO,Denver
80266,39.747177,-104.991511,Denver,CO,Denver
80270,39.738750,-104.408349,Denver,CO,Denver
80271,39.738750,-104.408349,Denver,CO,Denver
80273,39.727291,-104.987535,Denver,CO,Denver
80274,39.743935,-104.987577,Denver,CO,Denver
80275,39.738750,-104.408349,Denver,CO,Denver
80279,39.738750,-104.408349,Denver,CO,Denver
80280,39.716675,-104.906942,Denver,CO,Denver
80281,39.743938,-104.987577,Denver,CO,Denver
80285,NULL,NULL,Denver,CO,Denver
80290,39.743607,-104.987556,Denver,CO,Denver
80291,39.743938,-104.987577,Denver,CO,Denver
80292,39.747391,-104.992842,Denver,CO,Denver
80293,39.745785,-104.990686,Denver,CO,Denver
80294,39.749084,-104.989036,Denver,CO,Denver
80295,39.745487,-104.986336,Denver,CO,Denver
80299,39.738750,-104.408349,Denver,CO,Denver
